edgeR Analysis of Differential Expression Across Pseudotime,,,,,,
,logFC,logCPM,F,PValue,FDR,Cluster
SESN1,0.016962915,8.172139419,112.5680845,4.71E-17,1.20E-16,5
SAMD1,0.022232896,8.184864621,212.3094933,1.55E-29,4.68E-29,5
HMGCS2,0.0392923,8.331971788,379.8342708,9.38E-84,4.90E-83,5
XPO6,0.035212415,8.202652784,532.1887026,3.49E-76,1.71E-75,5
KIAA2026,0.030532522,8.229492623,384.266972,3.35E-63,1.46E-62,5
ICAM3,0.03029949,8.238460006,367.6833557,2.83E-60,1.20E-59,5
TRIM8,0.036169279,8.217668498,536.4265516,1.54E-87,8.31E-87,5
ZNF358,0.021940854,8.194412466,200.8762747,1.25E-26,3.66E-26,5
DEFA5,-0.134781288,8.29072627,5971.273883,0,0,5
AL355075.4,-0.062192168,8.13257444,2584.557726,2.27E-287,5.01E-286,5
GPT,-0.002531164,8.091332485,3.905184065,0.388284293,0.468688054,5
RPL36A,0.003021477,10.8225051,5.31334956,0.021173662,0.033879679,5
C22orf39,0.02312065,8.304621943,215.0730815,1.47E-37,4.89E-37,5
SCYL1,0.038226175,8.241494565,615.6444165,1.34E-92,7.53E-92,5
WDR74,0.030391399,8.369343828,386.0732964,4.38E-85,2.31E-84,5
MAML2,0.013004951,8.186836813,73.17517914,6.42E-13,1.53E-12,5
RPL28,0.010946273,13.00527273,96.87997074,8.38E-23,2.33E-22,5
LONP1,0.028075503,8.247775027,322.4994855,6.91E-57,2.82E-56,5
HIST1H2BH,-0.023756509,8.146512753,287.2953781,4.26E-38,1.43E-37,5
UVRAG,0.016377791,8.126235963,169.7874549,4.26E-19,1.13E-18,5
RPS11,0.025392225,11.96563846,436.0114332,1.02E-95,5.87E-95,5
UPF3B,0.037013232,8.285989205,533.8163335,2.07E-98,1.22E-97,5
R3HDM2,0.022401048,8.237823235,203.6911469,3.61E-33,1.14E-32,5
TOP2A,0.004620237,8.102306092,19.43721317,0.002638079,0.004647177,5
TCIM,-0.025419588,8.212720089,199.6263956,4.33E-45,1.57E-44,5
ATXN7L3B,0.033962487,8.242020994,477.0301837,8.91E-81,4.54E-80,5
CEP290,0.021694939,8.166263552,220.8957759,9.32E-30,2.82E-29,5
RPS27,0.005364568,12.79464882,20.99753962,4.63E-06,9.41E-06,5
CITED2,0.03146344,8.415215831,315.4927224,5.31E-70,2.46E-69,5
C6orf120,0.002003989,8.141074906,2.767034523,0.144024774,0.197502584,5
TLCD2,0.015551491,8.160089155,116.1259684,2.16E-18,5.65E-18,5
AC012485.3,-0.023900244,8.075057561,1193.356957,4.13E-55,1.66E-54,5
TRMT2A,0.024505334,8.147622121,314.4543785,6.71E-37,2.21E-36,5
SPSB2,0.024925499,8.148520947,311.1931729,9.31E-37,3.07E-36,5
STK11,0.02068016,8.21003154,180.1732483,9.45E-27,2.76E-26,5
NOC4L,0.03461093,8.208938949,522.2760054,1.08E-79,5.44E-79,5
TULP4,0.029491594,8.217988053,356.1371503,1.03E-59,4.32E-59,5
PLEKHA5,0.043557541,8.269601486,767.7264354,5.67E-141,4.57E-140,5
NPRL2,0.028503349,8.155081632,401.199672,2.74E-47,1.02E-46,5
CENPF,0.006419612,8.197212722,14.82877159,0.000118123,0.000226385,5
SOCS3,0.025378419,8.360851147,175.1025679,8.63E-40,2.95E-39,5
GGT6,0.030970924,8.210818131,367.8011067,6.16E-61,2.62E-60,5
ILF3-DT,-0.016398513,8.117617204,167.7006841,9.25E-18,2.40E-17,5
HOXA3,0.020676055,8.121515607,274.5478212,2.43E-29,7.33E-29,5
BOLA1,0.017556943,8.139932298,165.7823434,2.63E-19,6.98E-19,5
TDRD3,0.025864634,8.147674136,348.1467735,2.48E-40,8.54E-40,5
RPL35A,0.023612307,12.31571884,366.1572294,7.78E-81,3.97E-80,5
SRSF6,0.038324267,8.487948962,629.9453954,9.98E-137,7.81E-136,5
C9orf16,0.026260236,9.652986122,398.2695478,1.10E-87,5.93E-87,5
TRIM44,0.027383195,8.422813775,316.4990095,3.23E-70,1.50E-69,5
POLRMT,0.024932369,8.178578554,287.8135264,1.72E-38,5.77E-38,5
CNNM4,0.030487075,8.149907275,465.5438023,1.08E-52,4.24E-52,5
RBM28,0.031387618,8.191530961,437.8766232,1.12E-64,4.93E-64,5
ABCB8,0.02972224,8.145485263,486.8062053,1.07E-58,4.45E-58,5
RNF168,0.032081886,8.177634304,466.1639403,9.57E-62,4.11E-61,5
USE1,0.025466215,8.347928861,265.2663001,1.57E-48,5.93E-48,5
RPS15,0.006798857,13.00714552,36.71208109,1.40E-09,3.13E-09,5
EPPK1,0.024933798,8.245931836,227.0453106,1.08E-41,3.79E-41,5
PPIP5K2,0.025220187,8.162521859,305.2285056,2.90E-37,9.61E-37,5
ELF2,0.024694235,8.163442126,288.3017993,2.31E-36,7.57E-36,5
MT1H,0.00599364,8.139574234,10.33808782,0.046058752,0.070152125,5
AC023157.3,-0.045777108,8.195983297,775.038329,7.63E-163,7.20E-162,5
AL118516.1,-0.033631673,8.105605955,992.6363374,1.44E-85,7.60E-85,5
LRRC45,0.011734705,8.120397851,88.2616731,9.25E-10,2.08E-09,5
RPL37A,0.018605544,12.51959845,250.7816076,4.11E-56,1.67E-55,5
ITPR2,0.016281954,8.141849019,127.9552025,3.52E-17,9.03E-17,5
CD3EAP,0.030346696,8.207019439,369.7590097,5.31E-59,2.22E-58,5
ZSWIM6,0.023949642,8.154793145,266.2775096,3.78E-31,1.17E-30,5
DDX49,0.031168387,8.285797018,404.8971902,1.28E-69,5.91E-69,5
HMGB2,0.023435983,8.440714812,205.5761006,2.25E-46,8.30E-46,5
NRARP,-0.016390251,8.283167513,105.8160954,9.44E-25,2.69E-24,5
ITGB3BP,0.021724612,8.175195158,212.5125724,7.21E-28,2.13E-27,5
EXT1,0.019299871,8.159785794,183.9907938,9.58E-26,2.76E-25,5
CORO1A,0.019409637,8.135135208,205.7548737,1.33E-26,3.88E-26,5
AL031777.3,-0.038413682,8.109809536,1119.887572,6.77E-107,4.26E-106,5
SHD,0.005607305,8.141520359,17.23588095,0.001396175,0.002505884,5
FGFR4,0.030692632,8.228780489,385.8802007,3.80E-65,1.68E-64,5
C12orf73,0.033917074,8.19240686,512.0189501,3.41E-71,1.60E-70,5
SULT1A1,0.027244337,8.145206319,371.2044136,6.15E-50,2.35E-49,5
PTPN6,0.029123648,8.150227786,445.8485879,5.66E-53,2.22E-52,5
EIF2B4,0.035393341,8.191571667,559.748933,1.79E-77,8.88E-77,5
RPL37,0.015193707,12.41333043,189.4641213,6.78E-43,2.40E-42,5
CASC3,0.034321692,8.211373587,504.7633639,1.50E-72,7.13E-72,5
XAB2,0.022562535,8.183575089,236.91109,1.49E-35,4.82E-35,5
GNPTAB,0.032157095,8.183029653,454.3149944,9.68E-62,4.15E-61,5
GOLGB1,0.044847619,8.565029629,764.1830011,7.40E-165,7.08E-164,5
STXBP5,0.025713373,8.114666913,451.7412641,1.60E-40,5.51E-40,5
CBX4,0.023422493,8.291569344,207.0955,1.05E-41,3.66E-41,5
