BEAM Analysis Results Table,,,,,,,
,status,family,pval,qval,gene_short_name,num_cells_expressed,use_for_ordering
AC007193.8,OK,negbinomial.size,1,1,AC007193.8,0,FALSE
AC007193.9,OK,negbinomial.size,1,1,AC007193.9,0,FALSE
AC007228.11,OK,negbinomial.size,1,1,AC007228.11,3,FALSE
AC007228.9,FAIL,negbinomial.size,1,1,AC007228.9,12,FALSE
AC007246.3,OK,negbinomial.size,0.45721667,1,AC007246.3,81,FALSE
AC007255.8,OK,negbinomial.size,1,1,AC007255.8,6,FALSE
AC007277.3,OK,negbinomial.size,1,1,AC007277.3,2,FALSE
AC007285.6,OK,negbinomial.size,1,1,AC007285.6,1,FALSE
AC007292.3,OK,negbinomial.size,0.634807361,1,AC007292.3,7,FALSE
AC007292.4,OK,negbinomial.size,1,1,AC007292.4,0,FALSE
AC007292.6,OK,negbinomial.size,0.99974896,1,AC007292.6,3,FALSE
AC007319.1,OK,negbinomial.size,1,1,AC007319.1,0,FALSE
AC007325.2,OK,negbinomial.size,0.999989433,1,AC007325.2,5,FALSE
AC007325.4,OK,negbinomial.size,0.945878054,1,AC007325.4,34,FALSE
AC007349.5,OK,negbinomial.size,1,1,AC007349.5,0,FALSE
AC007349.7,OK,negbinomial.size,1,1,AC007349.7,0,FALSE
AC007364.1,OK,negbinomial.size,0.949541493,1,AC007364.1,182,FALSE
AC007365.3,OK,negbinomial.size,0.999942024,1,AC007365.3,2,FALSE
AC007381.3,OK,negbinomial.size,1,1,AC007381.3,0,FALSE
AC007383.3,OK,negbinomial.size,0.985642541,1,AC007383.3,36,FALSE
AC007383.4,OK,negbinomial.size,1,1,AC007383.4,0,FALSE
AC007386.2,OK,negbinomial.size,1,1,AC007386.2,0,FALSE
AC007386.4,OK,negbinomial.size,1,1,AC007386.4,0,FALSE
AC007389.3,OK,negbinomial.size,1,1,AC007389.3,0,FALSE
AC007391.2,OK,negbinomial.size,1,1,AC007391.2,0,FALSE
AC007392.3,OK,negbinomial.size,1,1,AC007392.3,0,FALSE
AC007403.2,OK,negbinomial.size,1,1,AC007403.2,0,FALSE
AC007405.4,OK,negbinomial.size,1,1,AC007405.4,1,FALSE
AC007405.6,OK,negbinomial.size,0.996349929,1,AC007405.6,9,FALSE
AC007422.1,OK,negbinomial.size,1,1,AC007422.1,0,FALSE
AC007563.5,OK,negbinomial.size,1,1,AC007563.5,0,FALSE
